hip,hd,bf,proper,ra,dec,dist,mag,absmag,spect,x,y,z
57001,101563,,,11.685674,-29.196274,43.2526,6.44,3.26,G2III/IV,-37.629652,3.103641,-21.098691
58810,104752,,,12.062369,-74.214096,346.0208,6.44,-1.256,G6III,-94.120188,-1.536798,-332.970687
60066,107131,,,12.317229,26.008349,85.6898,6.44,1.775,Am,-76.746578,-6.388529,37.575162
63297,112826,,,12.971907,64.925533,333.3333,6.44,-1.174,K0,-136.717014,-35.557442,301.91922
63849,113537,,,13.085186,-47.11691,101.0101,6.44,1.418,F5III,-65.982387,-19.266783,-74.014469
65381,116429,,,13.39919,-20.924587,156.0062,6.44,0.474,K1/K2III/IV,-136.05036,-52.191716,-55.715875
65417,116594,,,13.408481,12.431832,190.8397,6.44,0.037,K0III,-173.837998,-67.173373,41.083561
67036,119419,,,13.737781,-51.012454,119.0476,6.44,1.061,A0p,-67.280542,-32.911882,-92.533707
69727,124915,,,14.272606,-6.621544,64.2674,6.44,2.4,A9III,-52.868861,-35.78023,-7.410681
72135,129624,,,14.755232,-51.314927,392.1569,6.44,-1.527,K4III,-184.064628,-161.866705,-306.115039
72670,129899,,,14.858351,-77.17597,255.102,6.44,-0.594,Ap...,-41.494607,-38.52564,-248.738825
74336,134444,,,15.193002,-45.277459,156.4945,6.44,0.468,K1III,-73.835249,-81.700793,-111.192868
74775,135468,,,15.281945,-46.202355,56.6251,6.44,2.675,F6V,-25.593172,-29.68036,-40.871356
75587,137928,,,15.442273,54.020294,123.0012,6.44,0.99,A2IV,-44.852273,-56.658776,99.535627
75818,137785,,,15.488688,-38.634999,60.5327,6.44,2.53,F2V,-28.89594,-37.427869,-37.794007
80809,149081,34    Her,,16.501681,48.96109,101.4199,6.44,1.409,A1V,-25.455639,-61.531724,76.497312
81499,150052,,,16.646591,-8.61861,223.7136,6.44,-0.308,K5,-76.741903,-207.447666,-33.524935
83834,155061,,,17.133526,31.206189,458.7156,6.44,-1.868,K2,-88.23872,-382.291905,237.66941
85235,158633,,,17.416831,67.306705,12.8025,6.44,5.904,K0V,-0.75131,-4.88157,11.811056
85307,157856,,,17.432743,-1.651777,61.8429,6.44,2.484,F3V,-9.146576,-61.13657,-1.782613
86716,160748,,,17.718573,-33.051289,460.8295,6.44,-1.878,M1III,-28.432856,-385.211386,-251.331583
87224,162113,,,17.821956,1.961413,115.6069,6.44,1.125,K0III,-5.383501,-115.413158,3.956794
93371,176270,,,19.017861,-37.061555,234.7418,6.44,-0.413,B9.5IV:,49.327792,-180.709661,-141.472389
93443,176971,,,19.030397,22.264412,123.7624,6.44,0.977,A4V,30.52331,-110.392914,46.891145
94054,177693,,,19.147861,-55.720425,121.5067,6.44,1.017,K1IV,20.257734,-65.369343,-100.400725
94130,178254,,,19.161043,-39.827238,121.6545,6.44,1.014,K0III,27.963201,-89.145356,-77.916746
95370,182635,,,19.401682,36.452094,121.6545,6.44,1.014,K1III,35.107612,-91.338231,72.280901
96546,185435,,,19.628005,35.022536,657.8947,6.44,-2.651,K5,222.738986,-490.568621,377.564841
97454,187203,,,19.808476,10.6941,375.9398,6.44,-1.436,F8Ib-II,168.438776,-328.774121,69.761422
97569,186584,,,19.831505,-66.813069,308.642,6.44,-1.007,K4III,56.061154,-107.818443,-283.711479
98253,189377,,,19.965588,42.260771,325.7329,6.44,-1.124,A3V,118.650324,-209.852086,219.057275
98785,190009,,,20.062309,-22.595595,61.1247,6.44,2.509,F7V,29.009833,-48.405493,-23.485622
99894,192699,,,20.268335,4.580795,65.6168,6.44,2.355,G5,36.598915,-54.209052,5.240473
100714,194882,,,20.418057,59.600097,251.2563,6.44,-0.561,A3III,75.218615,-102.506981,216.71204
100876,194841,,,20.453942,20.476485,434.7826,6.44,-1.751,K0,244.040967,-326.108022,152.096923
103154,198949,,,20.899552,-6.889461,66.7557,6.44,2.318,F1IV,45.614108,-48.078531,-8.00762
104481,201507,,,21.166185,2.943681,75.2445,6.44,2.058,F5IV,55.396178,-50.774084,3.864111
107445,207088,,,21.762361,35.857311,151.5152,6.44,0.538,G8III,102.324567,-67.893008,88.752829
109412,210300,,,22.166708,-28.292435,128.041,6.44,0.903,A5V,100.006881,-52.058877,-60.687889
110504,212466,,,22.385283,55.96323,100000,6.44,-13.56,G8Iavar,51045.30842,-22962.91193,82867.85302
113705,217590,,,23.028772,3.53091,126.2626,6.44,0.934,G5,121.971028,-31.699278,7.776135
114096,218261,,,23.108854,19.910853,27.9486,6.44,4.208,F7V,25.565988,-6.075187,9.518094
114981,219668,,,23.287958,45.164167,77.5194,6.44,1.993,K0IV,53.710085,-10.129722,54.971085
116465,221905,,,23.598873,24.561012,278.5515,6.44,-0.785,M1III,251.952138,-26.556413,115.783227
116991,222748,,,23.718068,51.939335,163.9344,6.44,0.367,K0,100.789593,-7.452697,129.075055
117510,223466,,,23.830443,-25.331336,98.3284,6.44,1.477,A3V,88.786577,-3.943828,-42.070088
2846,3325,,,0.600877,-14.973035,115.3403,6.45,1.14,K0III,110.048493,17.455865,-29.799858
8143,10725,,,1.745466,-6.766164,189.3939,6.45,0.063,G0,168.777805,82.983076,-22.313925
9685,12894,,,2.076413,-54.881689,47.7555,6.45,3.055,F2V,23.51203,14.209305,-39.062396
10623,12918,,,2.279251,83.561414,129.199,6.45,0.894,K0,11.984294,8.141428,128.384094
10795,14262,,,2.316097,23.167815,93.4579,6.45,1.597,A7V,70.604055,48.96416,36.768679
11212,14988,,,2.405588,-25.847459,188.6792,6.45,0.071,K3III,137.22785,100.008933,-82.259868
11427,15228,,,2.456498,10.198326,37.2439,6.45,3.595,F5V,29.332714,21.981588,6.594193
11474,15328,,,2.466647,1.960846,166.6667,6.45,0.341,K0III,133.02866,100.243187,5.702763
13036,17245,,,2.791987,44.272198,462.963,6.45,-1.878,F5,246.814359,221.296908,323.17959
13176,17484,,,2.824143,37.326411,96.6184,6.45,1.525,F6III-IV,56.770091,51.769458,58.585117
16587,21769,,,3.558944,58.76524,154.5595,6.45,0.505,A4III,47.802926,64.329593,132.156128
17436,23508,,,3.735104,-40.660289,96.8992,6.45,1.518,K1III,41.076047,60.958727,-63.136993
17558,23301,,,3.760304,38.676262,135.8696,6.45,0.784,K0,58.69232,88.354235,84.907531
19590,26584,,,4.198927,-8.837485,158.4786,6.45,0.45,G5,71.132821,139.509106,-24.347439
19725,26739,,,4.227264,-1.149737,220.2643,6.45,-0.265,B5IV,98.574789,196.926154,-4.419684
20360,27660,,,4.360421,-6.284172,210.5263,6.45,-0.167,A0,87.090508,190.277518,-23.044149
21666,29805,,,4.651194,-51.672752,214.1328,6.45,-0.203,K2III,45.923682,124.601609,-167.983488
23419,32273,,,5.03334,1.608865,187.2659,6.45,0.088,B8V,46.868895,181.229865,5.25774
24560,34318,,,5.2696,-11.352553,228.3105,6.45,-0.343,G0,42.542619,219.763591,-44.941897
25192,35076,22    Aur,,5.389686,28.936761,162.6016,6.45,0.394,B9Vs,22.640278,140.488969,78.673845
26104,36814,,,5.567353,-7.02375,160.7717,6.45,0.419,K0,18.034789,158.542734,-19.659286
26571,37329,,,5.64927,26.618068,105.5966,6.45,1.332,G9III,8.656161,94.007164,47.311671
29509,42787,,,6.216548,6.016258,182.4818,6.45,0.144,M...,-10.282792,181.185171,19.126038
30480,45701,,,6.407384,-63.428929,31.7561,6.45,3.941,G3III/IV,-1.51213,14.124122,-28.402211
31359,46101,7    Lyn,,6.575777,55.353042,295.858,6.45,-0.905,K0III:,-25.258341,166.293238,243.393561
32019,47731,25    Gem,,6.689138,28.196638,632.9114,6.45,-2.557,G5Ib,-100.091782,548.750852,299.050013
32477,49705,,,6.778242,-54.695028,127.2265,6.45,0.927,G6III,-14.877277,72.007001,-103.827971
35326,56876,,,7.29667,-26.797556,296.7359,6.45,-0.912,B5Vn,-88.19709,249.752627,-133.780314
35548,57049,,,7.335234,15.142928,208.7683,6.45,-0.148,A2Vn,-69.01789,189.331969,54.536115
38292,64181,,,7.845142,-44.579945,167.2241,6.45,0.334,G6III,-55.324851,105.480644,-117.375436
38686,64974,,,7.920514,-30.917643,270.2703,6.45,-0.709,K4III,-111.730158,203.171687,-138.866603
39198,65938,,,8.017612,-6.419195,69.2521,6.45,2.248,G5,-34.683391,59.438786,-7.742513
40397,69404,,,8.247567,-46.485892,617.284,6.45,-2.502,B3Vnne,-235.903628,353.542048,-447.657434
40559,65299,,,8.281654,84.057642,147.2754,6.45,0.609,A3IV,-8.575562,12.606903,146.483997
40749,70309,,,8.318219,-48.197853,288.1844,6.45,-0.848,B3V,-109.556169,157.787709,-214.827529
42400,73952,,,8.645782,-53.090381,160.5136,6.45,0.422,B8Vn,-61.558212,74.182279,-128.34416
42981,74685,,,8.759685,4.664376,163.3987,6.45,0.384,K0,-107.689543,122.170139,13.287392
45543,79994,,,9.282514,-11.103111,112.1076,6.45,1.202,K0,-83.3237,71.827457,-21.58915
46143,81896,,,9.410315,-70.075779,214.1328,6.45,-0.203,K1III,-56.833174,45.769372,-201.3157
47242,83352,,,9.629427,-3.170642,140.4494,6.45,0.712,K0,-114.083656,81.551259,-7.768242
47868,84567,,,9.756113,-30.20275,100000,6.45,-13.55,B0IV,-71936.56699,47900.1285,-50306.14354
48324,85268,23    Leo,,9.850551,13.066239,369.0037,6.45,-1.385,M0III,-304.02444,191.763797,83.423365
49642,88158,,,10.132398,-62.221416,210.5263,6.45,-0.167,Ap Si,-86.620998,46.084438,-186.264438
50013,88595,,,10.210547,-19.15304,41.3223,6.45,3.369,F7V,-34.829423,17.625532,-13.557637
50606,89389,,,10.337452,53.779391,31.1429,6.45,3.983,F9V,-16.686324,7.759118,25.124315
50887,90043,,,10.391214,-0.902244,77.4593,6.45,2.005,G5,-70.681171,31.664294,-1.219711
52488,93131,,,10.731184,-60.117783,100000,6.45,-13.55,WN7 + A,-47098.3594,16246.93297,-86705.14235
53260,94508,,,10.892615,-56.420501,100000,6.45,-13.55,K2III,-53001.21432,15811.24176,-83311.91941
53387,94619,,,10.919881,-20.664963,179.2115,6.45,0.183,K1III,-161.021486,46.786499,-63.244192
56050,99953,,,11.487539,-63.553937,100000,6.45,-13.55,B2Ia,-44135.30542,5957.079238,-89535.40096
